rap;pt;zed;jetpt;jetrap;cent;Model_Bkg_PP;N_Bkg_PP;lambda1_Bkg_PP;lambda2_Bkg_PP;lambda3_Bkg_PP;lambda4_Bkg_PP;lambda5_Bkg_PP;lambda6_Bkg_PP
0.0-1.6;6.5-40.0;0.0-1.0;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.0-0.1;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.1-0.2;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.2-0.3;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.3-0.4;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.4-0.5;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.5-0.6;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.6-0.7;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.7-0.8;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.8-0.9;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-1.6;6.5-40.0;0.9-1.0;40-100;0.0-2.4;0-100;Chebychev2;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
