rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
1.6-2.4;3.0-40.0;0.0-1.0;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.12];[0.040,0.015,0.06];[1.89,1.0,5.0];[2.3];[0.94];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.0-0.1;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[0.94];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.1-0.2;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[0.126];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.2-0.3;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[0.708];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.3-0.4;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[0.762];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.4-0.5;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[0.885];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.5-0.6;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[0.946];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.6-0.7;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[0.954];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.7-0.8;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[1.342];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.8-0.9;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[1.45];[0.5,0.0,1.0]
1.6-2.4;3.0-40.0;0.9-1.0;40-100;0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,5.0];[2.3];[3.00];[0.5,0.0,1.0]
